Mixture	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM858082	0.0222709553797608	0	0.0492329774305853	0.246229630501951	0	0	0.161784061202944	0.0411666141383613	0	0.0669616756273756	0	0	0	0.180524448109919	0.0881824948965638	0.0743115573551031	0.0168823258188317	0.00639207702545217	0.0442070634717087	0	0	0.00185411904144431	0	0.538192701437545	0.846669397421995
GSM858083	0	0.0593587791289344	0	0.17061526490265	0	0	0.129379838057206	0.0386939464587688	0.0184590668012619	0	0	0.0354585294979005	0	0.198965485860977	0.10411854236914	0.0420119017010364	0.00771516969949933	0.0245272346760298	0	0.116911177028184	0	0.0537850638184131	0.011	0.264863992212391	0.987797108628505
GSM858084	0.0161527487638168	0	0.113944639668019	0.0678847870685053	0	0.167441406292028	0	0.00495214476072034	0.0253267559470287	0	0	0.000633834023828535	0	0.127297420191186	0.0514194511785223	0.0918628086997907	0.0703944090601231	0.0330750846539289	0.109162416125604	0.0755354642185646	0.0152328301489692	0.0296837991993647	0.001	0.406972472539419	0.91285020546641
GSM858085	0.0216445440029287	0	0.0221544847241487	0.156898189396028	0	0.0153756585710479	0.115792433664692	0.0508794569209416	0	0	0.0403303926183997	0.0178412494232487	0	0.283501439716413	0.15283327196557	0.0695215354580104	0	0	0.0413586520892087	0	0	0.0118686914493635	0.001	0.428921680345233	0.905656405808674
GSM858086	0.0542538488568217	0	0.0273473035837682	0.0531392228759365	0	0.0798051839290203	0	0	0.098251419648218	0	0.026861356526975	0	0	0.365965084456346	0.0586552817153127	0.160861616769243	0.0158854633454917	0	0	0.0533401340064822	0	0.00563408428638514	0	0.529908160328888	0.84728850255313
GSM858087	0.0159235578188169	0	0.102339533830918	0.116015036054591	0	0.174255018997718	0	0.063803535778595	0	0.0847736905645522	0	0	0	0.0914401069718044	0.0888176177613474	0.0174895362543321	0.0419081145663907	0.011735139595481	0	0.157291326451111	0	0.0342077853543412	0.001	0.400190883126792	0.917101538738847
GSM858088	0.126673263926556	0	0	0.292634620924214	0	0	0.106482628222498	0.063682832453337	0.0019917307084157	0.014816011231627	0	0	0	0.0713781393843628	0.181453451000456	0.0841209506359102	0.0207768255758045	0.00490011060178385	0.0209722157949285	0.000392139007364887	0	0.00972508053274209	0	0.6197721910812	0.793266898191308
GSM858089	0.0252952690837455	0	0	0.0942522866193306	0	0.125914170040346	0.0188384631325524	0.0218800529681839	0	0.0231455181352431	0	0.0295204581122516	0.0340247496502516	0	0.0770914193644855	0.201015345365475	0.00720830075854256	0	0.322744198123999	0	0	0.0190697686455932	0	0.472668201280028	0.8806193235972
GSM858090	0.0227078741198042	0	0.0154203012871941	0.193982805352257	0	0.132603821884173	0.0406741194216591	0.053144685853586	0.00682608165782195	0.028951458224338	0	0.0262980460994029	0	0.00181297808142449	0.123493760028009	0.182470259371295	0.00242596346967306	0.0129360403156507	0.156251804833711	0	0	0	0.001	0.419113724845216	0.907790421319857
GSM858091	0.0507584540012234	0	0.0558427638419608	0.149399276894944	0	0.0914949452504739	0.0606464349386889	0.0104709347955531	0	0.1799599518454	0	0	0.0335862406379083	0	0.0740835924638232	0.149211861971785	0	0.00606134771710182	0.0107987489697561	0.0479483107469158	0	0.0797371359244659	0	0.531978631247098	0.848917567138213
GSM858092	0.0309598235880279	0	0.0428727245059301	0.069681888886362	0	0.221359523022223	0.0642629774271097	0.0368280375531644	0	0.0333433972903241	0.0331171671311435	0	0.000491349551992036	0.099395557367056	0.107098850862666	0.133723431321736	0.0509861585130456	0.0123849831194374	0	0.0415454767707342	0	0.0219486530890485	0.001	0.392034833146246	0.919999861956996
GSM858093	0.0423769045384977	0.103964947534542	0	0.219834737760925	0	0	0.117563240496279	0.0875399501513207	0.0262045031917669	0.0717881552086578	0.020532375156762	0	0	0.112180205395349	0.140630178583402	0.0215033538186981	0.0133878254227454	0	0	0.00807532535767369	0	0.0144182973833801	0	0.518715669850215	0.854699357412744
GSM858094	0.0188115426528124	0	0.0545524110478074	0.201459496364477	0	0	0.043342134740023	0.0529551842179542	0.0192768679711767	0.112450077062592	0	0.0308071542708182	0	0.0414589236073076	0.143408961678779	0.0930723737903376	0.0926449292234267	0	0.0957599433724886	0	0	0	0	0.585450720709217	0.818996630691711
GSM858095	0.107073639052841	0	0.00678050707875685	0.100895714848211	0	0.0897865184337177	0.0919613288542176	0.0481921374877477	0	0.0599554198035151	0.02296578697914	0	0	0.164288978839637	0.073873857295865	0.084187173224412	0.0196654647927999	0.0290205524962267	0	0.0620220478641754	0.00912132604876704	0.0302095468999694	0.00700000000000001	0.315363724413451	0.955621110368172
GSM858096	0.0294831812792439	0.0239480785747928	0.206792086321943	0.151349462251894	0	0.0495726896109898	0.0166262868619839	0.0230411979260318	0	0.0538385341090556	0	0.0200167722880008	0	0	0.100999222578288	0.170428460103782	0.00537412643628442	0	0.113567373117253	0	0	0.0349625285404571	0	0.595557240856362	0.832101376023686
GSM858097	0.0175846195284254	0	0.000200312479749372	0.14417437066271	0	0	0.149030263470091	0.0491388973011286	0	0	0.00594259318433956	0.0160831448883802	0.00460720510558217	0.245630402313169	0.110744904166379	0.121916113265474	0.0537649363198143	0.0310529162002939	0	0.00726191395220405	0	0.0428674071622599	0.001	0.447123688449254	0.894384321901821
GSM858098	0.0467465513658143	0	0.0208037336121308	0.0773764274029385	0	0.101156920438706	0	0	0.0634355670516038	0	0.0567062006324345	0	0	0.36294593579971	0.0628366556420372	0.0784021907861304	0.0189511335152166	0	0	0.110638683753278	0	0	0.002	0.379046279009156	0.936817716048953
GSM858099	0.0278946578132596	0	0	0.00728318796717519	0.00351094254952612	0.216617681314481	0.16096404312065	0	0.0236163564184118	0	0.048423781531099	0	0.00928920883964003	0.245171459816461	0.0306123144699254	0.0513829970306965	0.00535830726999526	0.0422507957599938	0	0.127624266098685	0	0	0.004	0.350384129255229	0.943904535986761
GSM858100	0.0536106083233996	0	0	0.0128139748301559	0	0.125563113099902	0.018609184106289	0.0118674544428238	0.00843901406157445	0.0466735417289313	0	0.0129035955711775	0	0.01497546765783	0.143618865873401	0.293131933297274	0.140374201857175	0	0.117419045150067	0	0	0	0.004	0.342176264334189	0.945464687250967
GSM858101	0.0153749968738834	0	0.0379116835175208	0.0915769638100406	0	0.095923880304683	0.0402999540773794	0.0192406145542049	0.00322465671819982	0	0.0345476974127737	0	0	0.25204113079243	0.0883525245618686	0.0819753903311733	0	0.0326550524486859	0	0.193235340960411	0	0.0136401136367454	0.002	0.383944908293424	0.932288624771708
